User,Original_track,Recommended_tracks
User 1),85985: ['Queensrÿche'] — Breaking The Silence - Remastered 2003),"134542: ['Queensrÿche'] — Eyes Of A Stranger - Remastered 2003, 102412: ['Queensrÿche'] — Suite Sister Mary - Remastered 2003, 31276: ['Queensrÿche'] — Queen Of The Reich - Remastered 2003, 102328: ['Queensrÿche'] — Anarchy-X - Remastered 2003, 85572: ['Queensrÿche'] — I Will Remember - Remastered, 149259: ['Queensrÿche'] — Electric Requiem - Remastered 2003, 32587: ['Queensrÿche'] — Empire - Remastered 2003, 101903: ['Queensrÿche'] — Gonna Get Close To You - Remastered, 102465: ['Queensrÿche'] — The Needle Lies - Remastered 2003, 164123: ['Queensrÿche'] — Spreading The Disease - Remastered 2003"
User 1),89997: ['Kelly Clarkson'] — Already Gone),"33612: ['Jon B.'] — They Don't Know, 170193: ['Shawn Mendes'] — Nervous, 90889: ['Kelly Clarkson'] — Run Run Rudolph, 37594: ['Shawn Mendes'] — Imagination, 169517: ['Shawn Mendes'] — Stitches, 139694: ['The Vamps', 'Shawn Mendes'] — Oh Cecilia (Breaking My Heart), 106506: ['Jonas Brothers'] — Paranoid, 73596: ['Carly Rae Jepsen'] — Call Me Maybe, 91434: ['Andy Grammer'] — Crazy Beautiful, 123519: ['The Wanted'] — We Own The Night"
User 1),"99515: ['Earth, Wind & Fire'] — Devotion)","10539: ['Ohio Players'] — Heaven Must Be Like This, 83064: ['MFSB', 'The Three Degrees'] — Love Is the Message (feat. The Three Degrees), 48377: ['Earth, Wind & Fire'] — Gratitude, 72040: ['The Main Ingredient'] — Everybody Plays the Fool, 66919: ['Earth, Wind & Fire'] — Wait, 115783: ['Eddie Kendricks'] — Tell Her Love Has Felt The Need, 100494: ['Earth, Wind & Fire'] — Rock That!, 146110: ['Earth, Wind & Fire'] — Power, 161923: ['Average White Band'] — Overture, 29589: ['Ohio Players'] — Sweet Sticky Thing"
User 1),99731: ['Fatback Band'] — Yum Yum (Gimme Some)),"32934: ['Dada'] — Dizz Knee Land, 143894: ['Fred Waring', 'The Pennsylvanians'] — Christmas, 91072: ['BTS', 'Supreme Boi'] — BTS Cypher Pt.3: Killer, 90933: ['Lucy Spraggan'] — Last Night (Beer Fear), 52150: ['Juan Luis Guerra 4.40'] — La Cosquillita, 11983: ['Debra Laws'] — Very Special, 69927: ['Eraserheads'] — Magasin, 42639: ['Jacques Offenbach', 'Eileen Farrell'] — The Marine's Hymn - Remastered, 14546: ['Hole'] — Violet, 36791: ['Jesse & Joy'] — ¡Corre!"
User 1),100004: ['Judy Collins'] — Bread and Roses),"32557: ['Lighter Shade Of Brown'] — Latin Active, 142712: ['Gebrüder Grimm'] — Kapitel 1 - König Drosselbart, 91411: ['Mick Gordon'] — At Doom's Gate, 72331: ['Priestess'] — Lay Down, 15273: ['Hole'] — Celebrity Skin, 164370: ['Blue Rodeo'] — Diamond Mine - Remastered 2012 version, 170441: ['ROLE MODEL', 'BENEE'] — notice me (feat. BENEE), 65998: ['Robin Trower'] — About to Begin - 2007 Remaster, 56978: ['Maluma'] — Felices los 4, 166117: ['Morcheeba'] — Blindfold"
User 1),100355: ['Paloma San Basilio'] — No llores por mí argentina),"90905: ['Imran Khan'] — Satisfya, 107702: ['Dillon Francis', 'Kygo', 'James Hersey'] — Coming Over (feat. James Hersey), 154136: ['Oneohtrix Point Never'] — Chrome Country, 137090: ['Marco Antonio Solís'] — Cuando Te Acuerdes De Mi, 108481: ['SiR'] — You Can't Save Me, 2252: ['Art Tatum'] — Tatum Pole Boogie - Live, 114854: ['Van Der Graaf Generator'] — Refugees - Remastered, 87036: ['Big Bad Voodoo Daddy'] — Mr. Pinstripe Suit, 85348: ['Shakatak', 'Al Jarreau'] — Day by Day (feat. Al Jarreau), 84335: ['Mykola Dmytrovych Leontovych', 'Mormon Tabernacle Choir', 'Jerold D. Ottley'] — Carol of the Bells"
User 1),100417: ['Molly Hatchet'] — Cheatin' Woman),"50748: ['Paul McCartney', 'Wings'] — Band On The Run, 83070: ['John Prine'] — Blue Umbrella, 48721: ['Foreigner'] — Headkknocker, 150386: ['James Taylor'] — Shed a Little Light, 83944: ['Jerry Jeff Walker'] — Northeast Texas Women, 160447: ['Steve Miller Band'] — My Dark Hour, 29563: ['James Taylor'] — Wandering - 2019 Remaster, 83112: ['Billy Joel'] — Ain't No Crime, 99945: ['Lynyrd Skynyrd'] — Free Bird - Live At Fox Theater, Atlanta/1976, 48910: ['The Doobie Brothers'] — Open Your Eyes"
User 1),100621: ['KISS'] — X-Ray Eyes),"65310: ['Alice Cooper'] — Desperado, 48669: ['KISS'] — I Stole Your Love, 51021: ['Whitesnake'] — Fool for Your Loving - 2009 Remaster, 68356: ['Cinderella'] — Push Push, 117953: ['Twisted Sister'] — Come out and Play, 131946: ['Deep Purple'] — Lady Luck, 116197: ['KISS'] — Rock And Roll Party, 68986: ['Skid Row'] — Piece of Me, 160209: ['Deep Purple'] — Anthem, 164741: ['Skid Row'] — Quicksand Jesus"
User 1),100751: ['Francis Cabrel'] — L'encre de tes yeux - Remastered),"97166: ['Serge Gainsbourg'] — Vilaines filles, mauvais garçons, 100811: ['Michel Berger'] — La groupie du pianiste - Remasterisé en 2002, 7885: ['Serge Gainsbourg'] — La chanson de Prévert, 62994: ['Serge Gainsbourg'] — Indifférente, 133889: ['Francis Cabrel'] — Encore et encore - Remastered, 115211: ['Serge Gainsbourg'] — Valse de Melody, 27101: ['Serge Gainsbourg'] — Baudelaire, 47491: ['Serge Gainsbourg'] — Melody, 97071: ['Serge Gainsbourg'] — Quand tu t'y mets, 113255: ['Serge Gainsbourg'] — Un violon, un jambon"
User 1),100877: ['Bernard Wright'] — Spinnin'),"30507: ['Instant Funk'] — I Got My Mind Made Up (You Can Get It Girl), 150499: ['Dan Hartman'] — Instant Replay, 65226: ['Taste'] — What's Going On, 100041: ['First Choice'] — Dr. Love, 130622: ['Taste'] — Blister On The Moon, 116100: ['The Salsoul Orchestra'] — Merry Christmas All, 49492: ['Bernard Wright'] — Haboglabotribin', 30408: ['Dan Hartman'] — Relight My Fire - Single Version, 89401: ['A Taste Of Honey'] — Boogie Oogie Oogie - Single Version 2 / Remastered 1999, 98742: ['Taste'] — On The Boards"
User 1),"101008: ['Def Leppard', 'Robert John ""Mutt"" Lange'] — Me And My Wine - 1984 Remix)","136179: ['Ben Folds Five'] — Selfless, Cold and Composed, 143100: ['Claude Debussy', 'Arthur Gold', 'Robert Fizdale'] — Six épigraphes antiques, L. 131: I. Pour invoquer Pan, dieu du vent d'été, 148288: ['Udo Jürgens'] — Griechischer Wein, 120439: ['Grace Jones'] — Slave To The Rhythm - Hot Blooded Version, 93596: ['Giorgio Consolini'] — Il mare, 139212: ['Mac DeMarco'] — Only You, 166250: ['Robert Earl Keen'] — Silent Track, 87262: ['Floater'] — The Sad Ballad of Danny Boy, 35801: ['Jamey Johnson'] — Redneck Side of Me, 112912: ['Los Muñequitos De Matanzas'] — Severa Y Lauta"
User 1),"101258: ['Hank Williams, Jr.'] — Kaw-Liga)","91345: ['Maddie & Tae'] — Fly, 16840: ['Rodney Atkins'] — Watching You, 153843: ['Luke Bryan'] — I Know You're Gonna Be There, 17331: ['George Strait'] — Troubadour, 15576: ['The Chicks'] — Ready to Run, 151299: ['Mark Wills'] — She's In Love, 165567: ['George Strait'] — Ocean Front Property, 34704: ['Kenny Chesney'] — She Thinks My Tractor's Sexy, 14878: ['Shenandoah'] — Two Dozen Roses, 46550: ['Hank Williams'] — Let's Turn Back The Years"
User 1),101286: ['Laura Branigan'] — Imagination),"84784: ['Roxy Music'] — While My Heart Is Still Beating - Remastered, 85211: ['Pretenders'] — Show Me - 2007 Remaster, 133657: ['Fiction Factory'] — (Feels Like) Heaven - Extended Version, 102089: ['Depeche Mode'] — Sacred - 2006 Remaster, 102974: ['Oingo Boingo'] — Gratitude, 67427: ['The Human League'] — Don't You Want Me, 101412: ['Real Life'] — Catch Me I'm Falling, 101854: ['Depeche Mode'] — See You, 102001: ['Depeche Mode'] — World Full of Nothing, 84654: ['Depeche Mode'] — Dreaming of Me - 2006 Remaster"
User 1),"124929: ['Frédéric Chopin', 'Ignacy Jan Paderewski'] — Polonaises, Op. 26: No. 2 in E-Flat Minor)","83677: ['Adolfo Echeverria', 'La Gran Banda'] — Amaneciendo, 54160: ['Amon Amarth'] — The Pursuit Of Vikings, 66744: ['Larry Graham & Graham Central Station'] — Boogie Witcha, Baby, 86708: ['Joe Public'] — Live and Learn, 137620: ['Beegie Adair'] — They Didn't Believe Me, 125971: ['Johannes Brahms', 'Eugene Istomin'] — Variations and Fugue on a Theme by Handel, Op. 24: Variation VI, 85775: ['Coyote Oldman'] — Ziricote, 18245: ['Ariana Grande', 'Liz Gillies'] — Santa Baby, 150753: ['Orient Pearl'] — Pagsubok, 106708: ['Seasons After'] — Cry Little Sister"
User 1),"124951: ['Frédéric Chopin', 'Maryla Jonas'] — Mazurkas, Op. 67: No. 2 in G Minor (Cantabile))","60277: ['Frédéric Chopin', 'Maryla Jonas'] — Mazurka in C-Sharp Minor, Op. 30 No. 4, 109007: ['Frédéric Chopin', 'Maryla Jonas'] — Mazurkas, Op. 30: No. 2 in B Minor, 21078: ['Frédéric Chopin', 'Robert Lortat'] — 24 Préludes, Op. 28: No. 15 in D-Flat Major. Sostenuto ""Raindrop"", 39689: ['Frédéric Chopin', 'Robert Lortat'] — 12 Études, Op. 25: No. 6 in G-Sharp Minor ""Thirds"", 109041: ['Frédéric Chopin', 'Ignaz Friedman'] — Mazurkas, Op. 67: No. 3 in C Major (Allegretto), 110079: ['Frédéric Chopin', 'Maryla Jonas'] — Nocturne in E Minor, Op. 72 No. 1, 124955: ['Frédéric Chopin', 'Ignaz Friedman'] — Mazurkas, Op. 7: No. 2 in A Minor (Vivo, ma non troppo), 21076: ['Frédéric Chopin', 'Robert Lortat'] — Waltzes, Op. 64: No. 3 in A-Flat Major. Moderato, 93994: ['Frédéric Chopin', 'Maryla Jonas'] — Mazurka in G-Sharp Minor, Op. 33 No. 1, 23928: ['Frédéric Chopin', 'Maryla Jonas'] — Nocturne in F Minor, Op. 55 No. 1"
User 1),125005: ['Λαϊκή Ορχήστρα Μιχάλη Φελουζή'] — Σούστα Αδροσίστου),"165808: ['Rossy War y Su Banda Kaliente'] — Nunca Pense Llorar, 23135: ['Orchestra Studio 7'] — Chella llà - Instrument and base Version, 101921: ['Spectre General'] — Nothin's Gonna Stand In Our Way, 161369: ['Jamie Donnelly'] — Science Fiction/Double Feature, 61497: ['Bhaktraj Dula Bhagat'] — Kya Needar Men Suno Tamo, 59261: ['Hafız Burhan'] — İstiklal Marşı, 25481: ['Machito & His Afro Cubans'] — Te He Venido A Buscar, 141472: ['Эрих Мария Ремарк'] — Часть 118.2 - Триумфальная арка, 1788: ['Castro Barbosa'] — Lig Lig Lé, 109586: ['Adam Caroll'] — Just One of Those Things: Jubilee: When love comes your way - Me and Marie"
User 1),149019: ['The Cars'] — Double Trouble),"31938: ['World Party', 'Anthony Thistlethwaite'] — Ship of Fools, 84419: ['The Cars'] — Misfit Kid, 67008: ['The Cars'] — Night Spots, 30478: ['The Cars'] — Double Life, 101650: ['The Cars'] — It's Not the Night, 85792: ['World Party', 'Steve Wickham'] — All Come True, 11275: ['The Cars'] — Moving in Stereo, 84471: ['The Cars'] — Don't Tell Me No, 31482: ['The Cars'] — Heartbeat City, 49218: ['The Cars'] — Touch and Go"
User 1),149569: ['The Pointer Sisters'] — Slow Hand),"117718: ['Idle Eyes'] — Tokyo Rose, 32638: ['The Black Crowes'] — Seeing Things, 84222: ['Stan Rogers'] — The White Collar Holler, 149736: ['Ani DiFranco'] — Talk to Me Now, 159237: ['Manfred Mann'] — Don't Ask Me What I Say, 52435: ['Fey'] — Azúcar Amargo, 17287: ['David Archuleta'] — Crush, 164918: ['U96'] — Das Boot, 98239: ['Long John Baldry'] — Let the Heartaches Begin, 57227: ['Pop Smoke'] — Get Back"
User 1),152432: ['Paul Brandt'] — Convoy),"141552: ['Shaila'] — Chhin Mein Bajegi Bansuri, 33911: ['DJ Shadow'] — Midnight In A Perfect World, 165625: ['Kyuss'] — Hurricane, 46336: ['The Righteous Brothers'] — Old Man River, 29159: ['Charlie Rich'] — The Most Beautiful Girl, 73741: ['Front Porch Step'] — Drown, 167716: ['The Hush Sound'] — You Are the Moon, 101348: ['Gwen Guthrie', 'Larry Levan'] — Peanut Butter - Larry Levan Mix / Bonus Track, 102525: ['Jason Donovan', 'Kylie Minogue'] — Especially for You, 16860: ['Tech N9ne'] — Caribou Lou"
User 2),70312: ['Kay Starr'] — (Everybody's Waitin' For) The Man With The Bag - Remastered 1996),"6538: ['Margaret Whiting'] — Moonlight In Vermont - 1945 Version, 24811: ['Dinah Shore'] — The Hostess with the Mostes' on the Ball, 112962: ['Margaret Whiting'] — A Fine Romance, 62081: ['Margaret Whiting'] — Back In Your Own Back Yard, 143712: ['Margaret Whiting'] — Blues Stay Away From Me, 129343: ['Dinah Shore'] — The Devil Is Afraid Of Music - Remastered 2004, 6676: ['Margaret Whiting'] — My Foolish Heart, 26687: ['Margaret Whiting'] — You Couldn't Be Cuter, 6617: ['Margaret Whiting'] — Time After Time, 128853: ['Margaret Whiting'] — The Way You Look Tonight"
User 2),"27916: ['Count Lasher', 'Lyn Taitt'] — Hooligans)","169304: ['Lindsey Stirling'] — Take Flight, 89832: ['Pendulum'] — Propane Nightmares, 17416: ['Bon Iver', 'St. Vincent'] — Rosyln, 91369: ['The Avett Brothers'] — No Hard Feelings, 38006: ['Ruth B.'] — Lost Boy, 121911: ['Christopher Cross'] — Ride Like the Wind, 155700: ['Margarita Cueto'] — El Conde de Luxemburgo (Canción de Julieta), 127322: ['Johann Sebastian Bach', 'Louis van Tulder', 'Amsterdam Toonkunst Choir', 'Concertgebouworkest', 'Willem Mengelberg'] — St. Matthew Passion, BWV 244 - Part One: No.20 Aria (Tenor, Chorus II): ""Ich will bei meinem Jesu wachen"", 89685: ['Puscifer'] — Momma Sed, 28781: ['Focus'] — Hocus Pocus - Extended Version"
User 2),"147255: ['Firefall'] — Goodbye, I Love You)","46454: ['Cream'] — Dreaming, 115485: ['Faces'] — My Fault, 48272: ['Fleetwood Mac'] — Rhiannon (Will You Ever Win) - Single; 2017 Remaster, 49114: ['Bad Company'] — Gone, Gone, Gone - 2009 Remaster, 99458: ['Graham Nash'] — Hey You (Looking at the Moon), 161769: ['Guy Clark'] — Good To Love You Lady, 9636: ['Paul McCartney'] — Maybe I’m Amazed - Remastered 2011, 65612: ['Fleetwood Mac'] — Bare Trees, 162305: ['Atlanta Rhythm Section'] — The Great Escape, 167345: ['Styx'] — Babe"
User 2),8062: ['Nat King Cole'] — Away In A Manger),"51732: ['Nat King Cole'] — L-O-V-E, 79576: ['Nat King Cole'] — If I Could Be With You (One Hour Tonight) - Instrumental, 26332: ['Nat King Cole'] — Te Quiero Dijiste, 79877: ['Nat King Cole'] — Just For The Fun Of It, 44854: ['Nat King Cole'] — But Beautiful, 113241: ['Nat King Cole'] — Tres Palabras, 80183: ['Nat King Cole'] — Fantastico, 159115: ['Nat King Cole'] — One Has My Name, The Other Has My Heart, 6182: ['Nat King Cole'] — It's Only A Paper Moon - Remastered, 159474: ['Nat King Cole'] — Bidin' My Time"
User 2),9302: ['Bee Gees'] — Words),"119065: ['The Staple Singers'] — Wade In The Water, 114612: ['Marvin Gaye', 'Tammi Terrell'] — Baby Don't Cha Worry, 97370: ['Marvin Gaye'] — Wherever I Lay My Hat (That's My Home), 160053: ['Sam & Dave'] — Let It Be Me, 65480: ['Al Green'] — I've Never Found a Girl, 132532: ['Smokey Robinson'] — Ooo Baby Baby - Live, 83455: ['Al Green'] — I Can't Get Next to You, 29181: ['The Spinners'] — It's A Shame, 10012: ['Al Green'] — Let's Stay Together, 105620: ['Four Tops'] — Bernadette"
User 2),"26983: ['Cannonball Adderley', 'Nancy Wilson', 'Sweet'] — Never Will I Marry)","6234: ['Chet Baker Quartet', 'Russ Freeman'] — I Fall In Love Too Easily - 1953 Version, 27070: ['Nancy Wilson', 'Cannonball Adderley', 'Sweet'] — Happy Talk, 6421: ['Clifford Brown', 'Max Roach Quintet'] — Joy Spring, 79600: ['Bill Evans'] — Our Delight, 6544: ['Kenny Drew'] — 52nd Street Theme, 161572: ['Donald Byrd'] — Night Whistler, 26528: ['Oscar Peterson Trio'] — You Make Me Feel So Young, 129721: ['Oscar Peterson Trio', 'Clark Terry'] — They Didn't Believe Me, 26177: ['Miles Davis'] — Au bar du Petit Bac - BOF ""Ascenseur pour l'échafaud"", 46092: ['Thelonious Monk'] — I Should Care"
User 2),147548: ['The Raincoats'] — The Void),"162407: ['Wire'] — Two People In a Room - 2006 Remastered Version, 11168: ['Wire'] — Mannequin - 2006 Remastered Version, 149084: ['Wire'] — Ahead, 116341: ['Wire'] — Feeling Called Love - 2006 Remastered Version, 49096: ['Gang Of Four'] — At Home He's A Tourist, 66442: ['Wire'] — Reuters - 2006 Remastered Version, 66821: ['Wire'] — I Am the Fly - 2006 Remastered Version, 132529: ['Wire'] — Another the Letter - 2006 Remastered Version, 100258: ['Wire'] — Fragile - 2006 Remastered Version, 100086: ['Wire'] — Pink Flag - 2006 Remastered Version"
User 2),132730: ['The Specials'] — Concrete Jungle - 2002 Remaster),"140736: ['Machine Gun Kelly', 'Travis Barker'] — Misery Business, 84155: ['Skids'] — Into The Valley, 157561: ['Tito Puente & His Orchestra'] — Este Tumbao, 148733: ['Strawberry Switchblade'] — Trees and Flowers - Extended Mix, 74064: ['Carnage', 'Migos'] — Bricks, 121342: ['Thalia', 'A.B. Quintanilla III', 'Kumbia Kings'] — Tu Y Yo - Cumbia Remix, 136553: ['La Secta AllStar'] — Bombón De Azúcar, 160717: ['John Cale'] — Please, 122259: ['Ludovico Einaudi'] — Primavera, 48: ['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra'] — No. 14, Vocalise"
User 2),"67813: ['Richard Strauss', 'Jessye Norman', 'Gewandhausorchester Leipzig', 'Kurt Masur'] — Vier letzte Lieder, TrV 296: 2. September)","45320: ['Aaron Copland', 'Leonard Bernstein', 'New York Philharmonic'] — Billy the Kid Suite: IV. Prairie Night. Card Game at Night, 156247: ['Ludwig van Beethoven', 'Bruno Walter', 'Philadelphia Orchestra'] — Symphony No. 6 in F Major, Op. 68 ""Pastoral"": V. Shepherd's Song - Happy and Thankful Feelings After the Storm. Allegretto, 109296: ['Ludwig van Beethoven', 'Karl Böhm', 'Staatskapelle Dresden'] — Beethoven: Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": I. Allegro, 23005: ['Richard Strauss', 'Bavarian State Orchestra'] — Don Quixote Op.35: VII Variation VI: The False Dulcinea, 111425: ['Ludwig van Beethoven', 'Pierre Monteux'] — Symphony No. 4 in B-Flat Major, Op. 60: II. Adagio, 157393: ['Richard Strauss', 'Ludwig Weber', 'Alfred Poell', 'Wiener Philharmoniker', 'Erich Kleiber'] — Der Rosenkavalier, Op.59 / Act 2: ""Is gut! Is gut! Ein Schluck"", 126512: ['Wolfgang Amadeus Mozart', 'Bruno Walter', 'Metropolitan Opera Orchestra'] — Die Zauberflöte, K.620, Act II: ""In diesen heil'gen Hallen"", 59977: ['Richard Strauss', 'Maria Reining', 'Lisa della Casa', 'Julius Patzak', 'Wiener Philharmoniker', 'Karl Böhm'] — Arabella, Op.79, TrV 263 / Act 1: Was hast du denn? - Live, 111153: ['Ludwig van Beethoven', 'Arturo Toscanini'] — Septet in E-Flat Major, Op. 20: VI. Andante con moto alla marcia - Presto, 127124: ['Ludwig van Beethoven', 'Arturo Toscanini'] — Septet in E-Flat Major, Op. 20: IV. Tema con variazioni: Variation II"
User 2),10429: ['Barry Manilow'] — Mandy),"146366: ['Barry Manilow'] — All the Time, 83302: ['Barry Manilow'] — Looks Like We Made It, 88681: ['Barry Manilow'] — Mandy, 30465: ['Barry Manilow'] — Ships, 116602: ['Barry Manilow'] — Where Do I Go From Here, 161193: ['Barry Manilow'] — This One's for You, 67339: ['Barry Manilow'] — The Old Songs - Digitally Remastered: 1998, 48385: ['Barry Manilow'] — Tryin' to Get the Feeling Again, 161185: ['Barry Manilow'] — Somewhere In the Night, 89739: ['Barry Manilow'] — Copacabana (At the Copa)"
User 2),30652: ['Pat Benatar'] — Treat Me Right),"116679: ['Pat Benatar'] — If You Think You Know How To Love Me, 32146: ['Pat Benatar'] — All Fired Up, 11457: ['Pat Benatar'] — Heartbreaker, 162462: ['Pat Benatar'] — Rated 'X', 69870: ['Pat Benatar'] — Love Is A Battlefield, 116991: ['Pat Benatar'] — Prisoner Of Love, 101242: ['Pat Benatar'] — Little Too Late, 49323: ['Pat Benatar'] — Hell Is For Children, 84552: ['Pat Benatar'] — Promises In The Dark, 12436: ['Pat Benatar'] — We Belong"
